"id";"vpu_id";"decision";"avg_usage";"max_usage";"forecasted_max";"scale_percent";"itis_ticket_number";"action_status";"remarks";"run_id";"created_at";"resource_type"
115;58;"scale_down";0.86;17.93;0.42;50.0;"";"";"";"58";"2026-06-20 11:02:39";"cpu"
117;59;"scale_down";2.16;14.47;0.68;50.0;"";"";"";"59";"2026-06-20 11:02:39";"cpu"
119;60;"scale_down";1.88;35.27;2.43;50.0;"";"";"";"60";"2026-06-20 11:02:39";"cpu"
121;61;"scale_down";1.27;33.67;1.9;50.0;"";"";"";"61";"2026-06-20 11:07:25";"cpu"
123;62;"no_change";30.82;89.3;34.15;0.0;"";"";"";"62";"2026-06-20 11:07:25";"cpu"
125;63;"scale_down";0.85;39.9;1.0;50.0;"";"";"";"63";"2026-06-20 11:07:25";"cpu"
127;64;"no_change";2.85;60.97;3.62;0.0;"";"";"";"64";"2026-06-20 11:07:25";"cpu"
129;65;"scale_down";2.71;49.6;3.21;25.0;"";"";"";"65";"2026-06-20 11:07:25";"cpu"
131;66;"scale_down";1.21;34.9;1.24;50.0;"";"";"";"66";"2026-06-20 11:12:03";"cpu"
133;67;"scale_down";1.22;25.0;1.56;50.0;"";"";"";"67";"2026-06-20 11:12:03";"cpu"
135;68;"scale_down";0.77;13.83;1.33;50.0;"";"";"";"68";"2026-06-20 11:12:03";"cpu"
137;69;"scale_down";1.99;29.37;0.96;50.0;"";"";"";"69";"2026-06-20 11:12:03";"cpu"
139;70;"no_change";3.19;77.43;5.98;0.0;"";"";"";"70";"2026-06-20 11:12:03";"cpu"
141;71;"scale_down";4.12;59.2;7.21;25.0;"";"";"";"71";"2026-06-20 11:16:57";"cpu"
143;72;"scale_down";1.54;39.5;2.12;50.0;"";"";"";"72";"2026-06-20 11:16:57";"cpu"
145;73;"scale_down";5.21;45.63;4.97;25.0;"";"";"";"73";"2026-06-20 11:16:57";"cpu"
147;74;"no_change";6.97;67.83;50.01;0.0;"";"";"";"74";"2026-06-20 11:16:57";"cpu"
149;75;"scale_down";1.3;22.67;4.35;50.0;"";"";"";"75";"2026-06-20 11:16:57";"cpu"
151;76;"scale_down";1.45;31.03;1.51;50.0;"";"";"";"76";"2026-06-20 11:21:45";"cpu"
153;77;"scale_down";12.09;58.07;20.74;25.0;"";"";"";"77";"2026-06-20 11:21:45";"cpu"
